,id,prices,market_caps,total_volumes
47,fantom,"[1620691200000, 0.7681487069756457]","[1620691200000, 1948709323.9921362]","[1620691200000, 409270898.4981428]"
48,fantom,"[1620777600000, 0.785007278122325]","[1620777600000, 1986499842.3963907]","[1620777600000, 277712166.5165889]"
49,fantom,"[1620864000000, 0.6244420011863075]","[1620864000000, 1614829750.5545335]","[1620864000000, 311721213.9859754]"
50,fantom,"[1620950400000, 0.6186214068038096]","[1620950400000, 1550048168.8517532]","[1620950400000, 261142861.64841816]"
51,fantom,"[1621036800000, 0.6891879070760661]","[1621036800000, 1753418394.6897602]","[1621036800000, 177961953.0162861]"
52,fantom,"[1621123200000, 0.6186432512467868]","[1621123200000, 1576561737.8404727]","[1621123200000, 209957554.34497675]"
53,fantom,"[1621209600000, 0.6316636151171616]","[1621209600000, 1595333597.3252308]","[1621209600000, 256350849.0830408]"
54,fantom,"[1621296000000, 0.5827530386453994]","[1621296000000, 1484206428.9059887]","[1621296000000, 171724501.40591758]"
55,fantom,"[1621382400000, 0.6709444401037382]","[1621382400000, 1690351386.5602899]","[1621382400000, 243832976.34800628]"
56,fantom,"[1621468800000, 0.4140203443543346]","[1621468800000, 1060912773.1161007]","[1621468800000, 760015445.7317293]"
57,fantom,"[1621555200000, 0.44715772262825965]","[1621555200000, 1135307593.3729074]","[1621555200000, 305126640.61657727]"
58,fantom,"[1621641600000, 0.34849485615199316]","[1621641600000, 894444559.2209101]","[1621641600000, 205122011.5498311]"
59,fantom,"[1621728000000, 0.2935826503567624]","[1621728000000, 752227938.097165]","[1621728000000, 149069458.1444902]"
60,fantom,"[1621814400000, 0.2550010460308608]","[1621814400000, 639852684.6243683]","[1621814400000, 254295980.3973611]"
61,fantom,"[1621900800000, 0.3387802725196562]","[1621900800000, 862221479.1796114]","[1621900800000, 246444816.173017]"
62,fantom,"[1621987200000, 0.3285477990587872]","[1621987200000, 834242667.1373198]","[1621987200000, 170428616.57398412]"
63,fantom,"[1622073600000, 0.38085299398981187]","[1622073600000, 963553984.661277]","[1622073600000, 193104860.28812248]"
64,fantom,"[1622160000000, 0.3468438415000941]","[1622160000000, 882942477.7916253]","[1622160000000, 120124926.20058115]"
65,fantom,"[1622246400000, 0.3036942204671464]","[1622246400000, 767823705.4611346]","[1622246400000, 126304122.86400379]"
66,fantom,"[1622332800000, 0.2777748950658806]","[1622332800000, 715549439.602145]","[1622332800000, 70894315.53296648]"
67,fantom,"[1622419200000, 0.2946421550020769]","[1622419200000, 747074760.9548044]","[1622419200000, 74457562.78381562]"
68,fantom,"[1622505600000, 0.32176656781042046]","[1622505600000, 817181772.1762556]","[1622505600000, 80306662.91409759]"
69,fantom,"[1622592000000, 0.3103527563806598]","[1622592000000, 789889274.9962101]","[1622592000000, 76442718.85685249]"
70,fantom,"[1622678400000, 0.3519821531272984]","[1622678400000, 901434346.4277102]","[1622678400000, 129234197.83068122]"
71,fantom,"[1622764800000, 0.3821611267085606]","[1622764800000, 975510285.8979433]","[1622764800000, 155752866.41962606]"
72,fantom,"[1622851200000, 0.33661818278113426]","[1622851200000, 856801623.0866219]","[1622851200000, 128935704.64018375]"
73,fantom,"[1622937600000, 0.31174923551605216]","[1622937600000, 790166415.9264811]","[1622937600000, 115961725.65573855]"
